state_id,env_step,left_seed,right_seed,action_rmse,vlm_last_layer_rmse,action_expert_last_layer_rmse,kv_key_norm_rmse,action_head_input_rmse,active_head_output_rmse,padding_head_output_rmse,active_row_energy_fraction,padding_row_energy_fraction,full_output_row_energy_fraction,output_null_energy_fraction
libero_goal_task03_ep000_seed0_step0100,100,202,404,0.3301358876023384,0.0,0.5487186089044465,0.0,0.5492383751634525,1.4193343514409447,1.363134913832657,0.09371829307249191,0.483897022538321,0.5777830172228852,0.42221698277711484
libero_goal_task03_ep000_seed0_step0100,100,303,404,0.29061045429714105,0.0,0.5342583765201082,0.0,0.5341819579431829,1.4164385445132315,1.3756919727295414,0.10074779278869504,0.5198070553719003,0.6209210675438589,0.3790789324561411
libero_goal_task03_ep001_seed1_step0050,50,101,202,0.10075260112680029,0.0,0.4830105109954162,0.0,0.4781737348323319,1.2849060457026256,1.3779150053669103,0.09158435421340702,0.6533677774973593,0.7454790051452155,0.2545209948547845
libero_goal_task03_ep001_seed1_step0050,50,101,303,0.1018923996348123,0.0,0.49440374054265723,0.0,0.4895852708914746,1.2809130938244266,1.412043453274928,0.09008398446230223,0.65263429717164,0.7427132356012923,0.2572867643987077
libero_goal_task03_ep001_seed1_step0050,50,101,404,0.10735863203861085,0.0,0.4788744472398533,0.0,0.47310049612633726,1.208591668473181,1.3690336625070225,0.08590245664178306,0.656084540312996,0.7419213923194665,0.2580786076805335
libero_goal_task03_ep001_seed1_step0050,50,202,303,0.10195745799970864,0.0,0.48362957498506276,0.0,0.47964258624589234,1.3090564628258512,1.3783508483686735,0.09389630264782772,0.6497426304886349,0.7437053775544075,0.25629462244559253
libero_goal_task03_ep001_seed1_step0050,50,202,404,0.10754267702672497,0.0,0.4878112256708962,0.0,0.4829935283782321,1.2932033183818985,1.3959933563761768,0.0897230371869573,0.656221784219782,0.7461952715790842,0.25380472842091584
libero_goal_task03_ep001_seed1_step0050,50,303,404,0.11645006492327839,0.0,0.48944903850712623,0.0,0.48447533625644257,1.2380150812362907,1.408165865117005,0.08238414852532278,0.6621048836515773,0.7445583569085328,0.2554416430914672
libero_goal_task03_ep001_seed1_step0100,100,101,202,0.3479057746914859,0.0,0.5713218938868121,0.0,0.5697982647311323,1.4555166798358294,1.3591377667394466,0.09565989111900022,0.4476913892423275,0.5443901219086587,0.45560987809134135
libero_goal_task03_ep001_seed1_step0100,100,101,303,0.30136246143119,0.0,0.5553085285985249,0.0,0.5541876144988671,1.4411521772733364,1.3929392667169531,0.09802528153306159,0.49568410525044376,0.5939411625053374,0.40605883749466265
libero_goal_task03_ep001_seed1_step0100,100,101,404,0.34678034599905744,0.0,0.5585035281525006,0.0,0.5576203761275328,1.456742942218501,1.354915042900635,0.1033484760612563,0.46261986470080974,0.5659480047907003,0.4340519952092997
libero_goal_task03_ep001_seed1_step0100,100,202,303,0.2811496760163892,0.0,0.5355433740331,0.0,0.532168810149714,1.2619211645611967,1.3595370900368426,0.07517350961234116,0.513643012883716,0.5889586555734436,0.4110413444265564
libero_goal_task03_ep001_seed1_step0100,100,202,404,0.33536981987495806,0.0,0.5667527491589935,0.0,0.5643035558261245,1.3932699590386899,1.380825911116881,0.08407908363441527,0.47036010043763016,0.5546716305726767,0.44532836942732335
libero_goal_task03_ep001_seed1_step0100,100,303,404,0.2736103444422888,0.0,0.5378987025023712,0.0,0.5336656275236258,1.2830741683934312,1.3948174291082152,0.077292096978288,0.5354144659394101,0.6131477221948939,0.3868522778051061
