feature_set,horizon,suite,episodes,failure_prevalence,auprc,auroc,brier
layer_action_expert_layer_11,50,libero_10,100,0.56,0.7469217430901172,0.6603084415584416,0.2818018988370835
layer_action_expert_layer_11,50,libero_goal,100,0.17,0.42692955898494306,0.6583982990786675,0.13758009647837452
layer_action_expert_layer_11,50,libero_object,100,0.33,0.49605409919275634,0.6363636363636362,0.21012855769189417
layer_action_expert_layer_11,50,libero_spatial,100,0.39,0.477127596909644,0.5931063472047079,0.2433504782088669
layer_action_expert_layer_15,50,libero_10,100,0.56,0.7900011986670435,0.6915584415584416,0.2653028467605574
layer_action_expert_layer_15,50,libero_goal,100,0.17,0.4037752308434884,0.7108433734939759,0.13027845565006496
layer_action_expert_layer_15,50,libero_object,100,0.33,0.48659530361682557,0.6236996834011759,0.21062487828905296
layer_action_expert_layer_15,50,libero_spatial,100,0.39,0.6446150116240226,0.6973518284993696,0.2227074629577084
layer_vlm_layer_03,50,libero_10,100,0.56,0.620154652808327,0.5905032467532467,0.2907922653177501
layer_vlm_layer_03,50,libero_goal,100,0.17,0.2981288496393963,0.6456413890857549,0.13706268775893454
layer_vlm_layer_03,50,libero_object,100,0.33,0.4747675012498319,0.5802804161013116,0.22065749325203474
layer_vlm_layer_03,50,libero_spatial,100,0.39,0.5364063246080373,0.6242118537200504,0.23352009445664504
layer_vlm_layer_07,50,libero_10,100,0.56,0.6341141638562798,0.6018668831168831,0.2814680391775885
layer_vlm_layer_07,50,libero_goal,100,0.17,0.3454525984744946,0.6413890857547838,0.13641784250045574
layer_vlm_layer_07,50,libero_object,100,0.33,0.46287247618826877,0.5784712799638173,0.21826130406656646
layer_vlm_layer_07,50,libero_spatial,100,0.39,0.4766592655574804,0.5872215216477512,0.2424894691103875
layer_vlm_layer_11,50,libero_10,100,0.56,0.6263987776679728,0.6002435064935064,0.2813940859609657
layer_vlm_layer_11,50,libero_goal,100,0.17,0.3329076747891433,0.6520198440822111,0.13596856557884132
layer_vlm_layer_11,50,libero_object,100,0.33,0.44790257760994623,0.5567616463138851,0.22561611375688922
layer_vlm_layer_11,50,libero_spatial,100,0.39,0.4978952138676553,0.592686002522068,0.24374091165207123
layer_vlm_layer_15,50,libero_10,100,0.56,0.6311601401783665,0.5998376623376623,0.29626124835965134
layer_vlm_layer_15,50,libero_goal,100,0.17,0.2674390874107385,0.6385542168674698,0.13859994224823174
layer_vlm_layer_15,50,libero_object,100,0.33,0.4677683254077267,0.5572139303482587,0.22199672938954648
layer_vlm_layer_15,50,libero_spatial,100,0.39,0.550113049832798,0.621689785624212,0.2320114172944113
majority_baseline,50,libero_10,100,0.56,0.4616950113378685,0.29707792207792205,0.2886337890625
majority_baseline,50,libero_goal,100,0.17,0.16411764705882353,0.4397590361445783,0.17749414062500002
majority_baseline,50,libero_object,100,0.33,0.3147979797979798,0.43441881501582996,0.22518457031249994
majority_baseline,50,libero_spatial,100,0.39,0.35213675213675216,0.3886086591004624,0.243046875
policy_output,50,libero_10,100,0.56,0.5801767868286569,0.5909090909090909,0.2530261826455194
policy_output,50,libero_goal,100,0.17,0.1480067054889002,0.4344436569808646,0.20475794641663228
policy_output,50,libero_object,100,0.33,0.3722739297081692,0.5400271370420624,0.22503078501309393
policy_output,50,libero_spatial,100,0.39,0.5045110534966916,0.5817570407734343,0.23802086490905072
robot_state,50,libero_10,100,0.56,0.6888286777989414,0.6773538961038961,0.23233516652687466
robot_state,50,libero_goal,100,0.17,0.17891562904622932,0.515946137491141,0.16042284232344262
robot_state,50,libero_object,100,0.33,0.4563782970944733,0.572139303482587,0.22478784191440085
robot_state,50,libero_spatial,100,0.39,0.3607340808515312,0.4451450189155107,0.26789279603980115
vlm_action_expert,50,libero_10,100,0.56,0.7784836410000846,0.716314935064935,0.2577439287397304
vlm_action_expert,50,libero_goal,100,0.17,0.3187177659361915,0.6569808646350106,0.13248230658529814
vlm_action_expert,50,libero_object,100,0.33,0.47896473899724634,0.6960651289009497,0.20232073256634098
vlm_action_expert,50,libero_spatial,100,0.39,0.5968682194209133,0.6939890710382514,0.2200710819522422
vlm_final,50,libero_10,100,0.56,0.6311601401783665,0.5998376623376623,0.29626124835965134
vlm_final,50,libero_goal,100,0.17,0.2674390874107385,0.6385542168674698,0.13859994224823174
vlm_final,50,libero_object,100,0.33,0.4677683254077267,0.5572139303482587,0.22199672938954648
vlm_final,50,libero_spatial,100,0.39,0.550113049832798,0.621689785624212,0.2320114172944113
action_expert_final,100,libero_10,100,0.56,0.8668088383447341,0.8096590909090909,0.19012036923561612
action_expert_final,100,libero_goal,100,0.17,0.5670167008567305,0.8781006378454996,0.10597355289597253
action_expert_final,100,libero_object,100,0.33,0.9380223204536839,0.9728629579375849,0.10192098386251094
action_expert_final,100,libero_spatial,100,0.39,0.9192561688048126,0.9184531315678857,0.1407948515633286
action_uncertainty,100,libero_10,100,0.56,0.632997777829887,0.5730519480519479,0.2511021135296139
action_uncertainty,100,libero_goal,100,0.17,0.14405319309887996,0.4046775336640681,0.2419111610411947
action_uncertainty,100,libero_object,100,0.33,0.318740192603591,0.44957033016734516,0.24730572859820119
action_uncertainty,100,libero_spatial,100,0.39,0.3896241009302304,0.44808743169398907,0.2517389754490573
all_diagnostic_features,100,libero_10,100,0.56,0.8502542068863649,0.8226461038961038,0.18343781862297148
all_diagnostic_features,100,libero_goal,100,0.17,0.7085615999459315,0.8837703756201275,0.1023888469261393
all_diagnostic_features,100,libero_object,100,0.33,0.948787505269234,0.9651741293532339,0.09757000925728924
all_diagnostic_features,100,libero_spatial,100,0.39,0.9361927649836028,0.9306431273644388,0.13093509549677435
layer_action_expert_layer_03,100,libero_10,100,0.56,0.7408158598452639,0.7353896103896105,0.20546253896974234
layer_action_expert_layer_03,100,libero_goal,100,0.17,0.520283154266372,0.8476257973068746,0.11724045508147153
layer_action_expert_layer_03,100,libero_object,100,0.33,0.9128758275231816,0.9561284486657621,0.11760077062663495
layer_action_expert_layer_03,100,libero_spatial,100,0.39,0.7696940811154667,0.7683900798654898,0.17898604890234066
layer_action_expert_layer_07,100,libero_10,100,0.56,0.7895600525364049,0.7877435064935066,0.19378089201079843
layer_action_expert_layer_07,100,libero_goal,100,0.17,0.6064124021568601,0.8440822111977322,0.11255622401691162
layer_action_expert_layer_07,100,libero_object,100,0.33,0.9677715374857563,0.9755766621438263,0.09726157147718587
layer_action_expert_layer_07,100,libero_spatial,100,0.39,0.8289268347470764,0.8474148802017655,0.16451378212593723
layer_action_expert_layer_11,100,libero_10,100,0.56,0.8865610354462796,0.8506493506493507,0.1812767555675286
layer_action_expert_layer_11,100,libero_goal,100,0.17,0.6639131963850363,0.8447909284195607,0.10911459137342894
layer_action_expert_layer_11,100,libero_object,100,0.33,0.9210524354391281,0.9651741293532339,0.09913878025521262
layer_action_expert_layer_11,100,libero_spatial,100,0.39,0.826354218300108,0.8684321143337538,0.15732831855107224
layer_action_expert_layer_15,100,libero_10,100,0.56,0.8668088383447341,0.8096590909090909,0.19012036923561612
layer_action_expert_layer_15,100,libero_goal,100,0.17,0.5670167008567305,0.8781006378454996,0.10597355289597253
layer_action_expert_layer_15,100,libero_object,100,0.33,0.9380223204536839,0.9728629579375849,0.10192098386251094
layer_action_expert_layer_15,100,libero_spatial,100,0.39,0.9192561688048126,0.9184531315678857,0.1407948515633286
layer_vlm_layer_03,100,libero_10,100,0.56,0.7643614177853824,0.7232142857142857,0.2160275315658539
layer_vlm_layer_03,100,libero_goal,100,0.17,0.4145386424438354,0.7491141034727143,0.12432344865605582
layer_vlm_layer_03,100,libero_object,100,0.33,0.8568991870129083,0.9122568973315242,0.13004681195881193
layer_vlm_layer_03,100,libero_spatial,100,0.39,0.8598028212005924,0.8705338377469526,0.15471610815979678
layer_vlm_layer_07,100,libero_10,100,0.56,0.7838760306475145,0.7349837662337663,0.20999927552758485
layer_vlm_layer_07,100,libero_goal,100,0.17,0.43619836028533976,0.7597448618001417,0.12347931311199307
layer_vlm_layer_07,100,libero_object,100,0.33,0.8738173585626896,0.9199457259158753,0.12800595056672787
layer_vlm_layer_07,100,libero_spatial,100,0.39,0.8402978746423524,0.85708280790248,0.15820279854216657
layer_vlm_layer_11,100,libero_10,100,0.56,0.7861599138802191,0.7349837662337663,0.20968148787161003
layer_vlm_layer_11,100,libero_goal,100,0.17,0.43157715891859655,0.7519489723600283,0.12603416527854372
layer_vlm_layer_11,100,libero_object,100,0.33,0.8243096348460033,0.898236092265943,0.13329231796813074
layer_vlm_layer_11,100,libero_spatial,100,0.39,0.8335922433055525,0.8495166036149642,0.16040735222535907
layer_vlm_layer_15,100,libero_10,100,0.56,0.7511853164495939,0.7219967532467533,0.22016307001924013
layer_vlm_layer_15,100,libero_goal,100,0.17,0.4582367716275299,0.7562012756909993,0.1256316169452561
layer_vlm_layer_15,100,libero_object,100,0.33,0.8644998518601856,0.9104477611940299,0.13031409894599338
layer_vlm_layer_15,100,libero_spatial,100,0.39,0.8635192249975238,0.8709541824295922,0.15268763938585023
majority_baseline,100,libero_10,100,0.56,0.4616950113378685,0.29707792207792205,0.2886337890625
majority_baseline,100,libero_goal,100,0.17,0.16411764705882353,0.4397590361445783,0.17749414062500002
majority_baseline,100,libero_object,100,0.33,0.3147979797979798,0.43441881501582996,0.22518457031249994
majority_baseline,100,libero_spatial,100,0.39,0.35213675213675216,0.3886086591004624,0.243046875
policy_output,100,libero_10,100,0.56,0.5794866310351556,0.5758928571428572,0.25446492040126373
policy_output,100,libero_goal,100,0.17,0.2692231131101661,0.6754075124025514,0.1682758057242312
policy_output,100,libero_object,100,0.33,0.3727495412499466,0.6142017186793306,0.21890864163043167
policy_output,100,libero_spatial,100,0.39,0.6684458992929976,0.7023959646910468,0.21034520835449833
robot_state,100,libero_10,100,0.56,0.5990034462232527,0.6400162337662338,0.2288095632219147
robot_state,100,libero_goal,100,0.17,0.25876203561177424,0.5662650602409638,0.15988386652081213
robot_state,100,libero_object,100,0.33,0.46991186286174125,0.5933966530981456,0.22428717928467537
robot_state,100,libero_spatial,100,0.39,0.5067015108233106,0.48045397225725095,0.2570494693256795
vlm_action_expert,100,libero_10,100,0.56,0.860610478881606,0.8262987012987013,0.1817670745976383
vlm_action_expert,100,libero_goal,100,0.17,0.6682786466162425,0.8752657689581858,0.10378099705011538
vlm_action_expert,100,libero_object,100,0.33,0.9485530762314259,0.9642695612844866,0.09795689254978837
vlm_action_expert,100,libero_spatial,100,0.39,0.9314832215028087,0.9243379571248423,0.1321662776960282
vlm_final,100,libero_10,100,0.56,0.7511853164495939,0.7219967532467533,0.22016307001924013
vlm_final,100,libero_goal,100,0.17,0.4582367716275299,0.7562012756909993,0.1256316169452561
vlm_final,100,libero_object,100,0.33,0.8644998518601856,0.9104477611940299,0.13031409894599338
vlm_final,100,libero_spatial,100,0.39,0.8635192249975238,0.8709541824295922,0.15268763938585023
