feature_set,horizon,episodes,failure_prevalence,auprc,auroc,brier,task_centered_auprc,task_centered_auroc,within_task_pairwise_auc,eligible_tasks,comparable_success_failure_pairs,task_eta_squared
robot_state,50,400,0.3625,0.5256559726452716,0.6154969574036511,0.2213596617011298,0.3805140888101275,0.5070453008789723,0.5232744783306581,33,623,0.9857513597953868
layer_vlm_layer_03,50,400,0.3625,0.5126136318797407,0.6657471264367816,0.2205081351963411,0.4899063620823463,0.5920486815415821,0.6613162118780096,33,623,0.789643671273928
layer_vlm_layer_07,50,400,0.3625,0.5088390026607715,0.6688032454361055,0.21965916371374952,0.4850115381596043,0.5801757944557132,0.6468699839486356,33,623,0.7910340849890211
layer_vlm_layer_15,50,400,0.3625,0.5082425901942808,0.6544151453684923,0.22221733432296023,0.47963391391072924,0.5859364435429344,0.6500802568218299,33,623,0.7843247897865843
vlm_final,50,400,0.3625,0.5082425901942808,0.6544151453684923,0.22221733432296023,0.47963391391072924,0.5859364435429344,0.6500802568218299,33,623,0.7843247897865843
layer_vlm_layer_11,50,400,0.3625,0.5052728207769718,0.6614469235970251,0.22167991923719185,0.4729810786703414,0.5757674104124408,0.6340288924558587,33,623,0.788350889069657
layer_action_expert_layer_03,50,400,0.3625,0.5002765562523475,0.6475726842461123,0.21987110960462394,0.47112754202470275,0.5766328600405679,0.5987158908507223,33,623,0.7948321900726797
policy_output,50,400,0.3625,0.44639051903676474,0.6139012846517917,0.23020894474607406,0.3745697691072906,0.5367680865449628,0.5521669341894061,33,623,0.8467605078923892
action_uncertainty,50,400,0.3625,0.3690067601097393,0.46807302231237313,0.2512122329989189,0.38568352369481684,0.49963488843813386,0.4943820224719101,33,623,0.6416629643475866
majority_baseline,50,400,0.3625,0.32816091954022986,0.4264367816091954,0.23358984375,0.3625,0.5,0.5,33,623,1.0000000000000013
vlm_action_expert,100,400,0.3625,0.8619621359892478,0.9056118999323868,0.12891781047339257,0.8079439119998995,0.8365382014874916,0.8892455858747994,33,623,0.5811342492763042
all_diagnostic_features,100,400,0.3625,0.858008961679768,0.9089925625422582,0.12858294257579359,0.8083945897534607,0.8368627450980392,0.8892455858747994,33,623,0.5811564007974089
layer_action_expert_layer_11,100,400,0.3625,0.8555906850894531,0.8996889790398918,0.1367146114368106,0.7930917822275545,0.8141446923597024,0.8507223113964687,33,623,0.5250778155183438
action_expert_final,100,400,0.3625,0.8437930535717564,0.8970655848546314,0.13470243938935705,0.8037993675330891,0.8226369168356998,0.8780096308186196,33,623,0.5254461157453633
layer_action_expert_layer_15,100,400,0.3625,0.8437930535717564,0.8970655848546314,0.13470243938935705,0.8037993675330891,0.8226369168356998,0.8780096308186196,33,623,0.5254461157453633
layer_action_expert_layer_07,100,400,0.3625,0.8117825004833982,0.8842731575388776,0.1420281174077083,0.7940751938235435,0.8111697092630156,0.8426966292134831,33,623,0.5738597704507831
layer_vlm_layer_07,100,400,0.3625,0.7834701017297504,0.854685598377282,0.1549218344371181,0.7440619437026944,0.7907234617985125,0.8443017656500803,33,623,0.5980151674231237
layer_vlm_layer_11,100,400,0.3625,0.7707798402597188,0.8435429344151454,0.1573538308359109,0.7296695481502582,0.7818796484110886,0.8443017656500803,33,623,0.6141300793710198
layer_vlm_layer_03,100,400,0.3625,0.7701277233881824,0.8482217714672076,0.15627847508512965,0.7319872728318293,0.7868830290736986,0.8394863563402889,33,623,0.6129290838943974
layer_vlm_layer_15,100,400,0.3625,0.7695406299490332,0.8490601757944557,0.15719910632408496,0.7364634996689134,0.7912914131169709,0.8459069020866774,33,623,0.5893860664437665
vlm_final,100,400,0.3625,0.7695406299490332,0.8490601757944557,0.15719910632408496,0.7364634996689134,0.7912914131169709,0.8459069020866774,33,623,0.5893860664437665
