feature_set,horizon,suite,episodes,failure_prevalence,auprc,auroc,brier,task_centered_auprc,task_centered_auroc,within_task_pairwise_auc,eligible_tasks,comparable_success_failure_pairs,task_eta_squared
layer_vlm_layer_11,0,libero_10,100,0.56,0.6363855003295341,0.6314935064935064,0.2738357024755754,0.61732080164749,0.5738636363636362,0.5987654320987654,8,162,0.8139289594793727
layer_vlm_layer_11,0,libero_goal,100,0.17,0.24493123730559468,0.554925584691708,0.14754427070079487,0.2982902831801044,0.6250885896527285,0.6666666666666666,8,123,0.35024399498541603
layer_vlm_layer_11,0,libero_object,100,0.33,0.44301186350535615,0.5305291723202171,0.26586272004848366,0.40138663107606076,0.48123021257349613,0.4911242603550296,9,169,0.5185484943703212
layer_vlm_layer_11,0,libero_spatial,100,0.39,0.3285674926548482,0.29508196721311475,0.317060601583949,0.32831710400576064,0.41277847835224885,0.3727810650887574,8,169,0.7203547609844091
layer_vlm_layer_15,0,libero_10,100,0.56,0.6309898349553679,0.6245941558441558,0.2899168142818824,0.6351996097774303,0.5507305194805194,0.5308641975308642,8,162,0.7268386516409674
layer_vlm_layer_15,0,libero_goal,100,0.17,0.26547054513035956,0.5839829907866761,0.1466816343524112,0.31087993681106457,0.6456413890857547,0.7235772357723578,8,123,0.3926520804626748
layer_vlm_layer_15,0,libero_object,100,0.33,0.4292899662978117,0.5192220714608774,0.26205992525325505,0.3876372088450565,0.4694708276797829,0.46745562130177515,9,169,0.5209299179721198
layer_vlm_layer_15,0,libero_spatial,100,0.39,0.36458597780978697,0.3135771332492644,0.30831191124781143,0.33933606342755207,0.426649852879361,0.378698224852071,8,169,0.7086430992566257
majority_baseline,0,libero_10,100,0.56,0.4616950113378685,0.29707792207792205,0.2886337890625,0.5521428571428572,0.48376623376623373,0.5,8,162,1.0000000000000004
majority_baseline,0,libero_goal,100,0.17,0.16411764705882353,0.4397590361445783,0.17749414062500002,0.16895424836601308,0.49645641389085754,0.5,8,123,1.0000000000000024
majority_baseline,0,libero_object,100,0.33,0.3147979797979798,0.43441881501582996,0.22518457031249994,0.34696969696969693,0.536182722749887,0.5,9,169,1.0000000000000004
majority_baseline,0,libero_spatial,100,0.39,0.35213675213675216,0.3886086591004624,0.243046875,0.435018315018315,0.5693568726355611,0.5,8,169,1.000000000000002
policy_output,0,libero_10,100,0.56,0.5553559998318927,0.5511363636363636,0.2696683749283469,0.5650875005533328,0.528814935064935,0.5555555555555556,8,162,0.8199555778356227
policy_output,0,libero_goal,100,0.17,0.18086436431416728,0.5421686746987951,0.23126481017687886,0.19709064632409207,0.5251594613749114,0.5447154471544715,8,123,0.7947277759197761
policy_output,0,libero_object,100,0.33,0.30385743858421826,0.4690185436454093,0.26963179342731397,0.2940463170431681,0.4491180461329715,0.3727810650887574,9,169,0.4293033749347534
policy_output,0,libero_spatial,100,0.39,0.35159104212255243,0.45102984447246747,0.2816385381877939,0.39839378879930315,0.5456073980664145,0.5739644970414202,8,169,0.5260819726856597
robot_state,0,libero_10,100,0.56,0.7014864524719827,0.6700487012987013,0.24531454825973484,0.6265401685691754,0.575487012987013,0.5925925925925926,8,162,0.9961525457272009
robot_state,0,libero_goal,100,0.17,0.14043667792756304,0.39404677533664073,0.14925526945838347,0.14489028373544668,0.4174344436569809,0.42276422764227645,8,123,0.3810778777393701
robot_state,0,libero_object,100,0.33,0.268900003712217,0.35232926277702403,0.23664811254313656,0.3177187323698945,0.46766169154228854,0.47928994082840237,9,169,0.8123938538722313
robot_state,0,libero_spatial,100,0.39,0.35007153372068367,0.45523329129886503,0.25842148783398855,0.3633069724756416,0.4691046658259773,0.4556213017751479,8,169,0.6207398706313423
state_action_history,0,libero_10,100,0.56,0.5760450217391304,0.578327922077922,0.24832123532402478,0.5413329481578006,0.4772727272727273,0.43209876543209874,8,162,0.9133735121223988
state_action_history,0,libero_goal,100,0.17,0.18733252652128593,0.5542168674698795,0.1800700806838065,0.18633327128419191,0.4847625797306875,0.5365853658536586,8,123,0.8531135683332197
state_action_history,0,libero_object,100,0.33,0.3727858244066581,0.5178652193577566,0.26170866160901046,0.27652805582969886,0.40117593848937133,0.35502958579881655,9,169,0.6689619464857992
state_action_history,0,libero_spatial,100,0.39,0.32626166726612543,0.38251366120218583,0.28677700390232447,0.44477398427107906,0.5481294661622531,0.5384615384615384,8,169,0.7816559018807445
vlm_action_expert,0,libero_10,100,0.56,0.7642014939591131,0.6814123376623377,0.2485762032634849,0.6216653666105575,0.5133928571428571,0.4567901234567901,8,162,0.9496111869781891
