source_condition,target_condition,feature_set,horizon,episodes,prediction_coverage,estimable,failure_prevalence,auprc,auroc,brier,task_centered_auprc,task_centered_auroc,within_task_pairwise_auc,eligible_tasks,comparable_success_failure_pairs,task_eta_squared,mean_failure_probability
clean,main_camera_blur,action_expert_final,0,90,1.0,True,0.6,0.7573693077405164,0.5956790123456791,0.31131488702968707,0.5797787549814789,0.4835390946502058,0.4489795918367347,7,98,0.9298911282448528,0.6414993919730988
clean,main_camera_blur,action_uncertainty,0,90,1.0,True,0.6,0.4722877009481402,0.2397119341563786,0.33255153826511424,0.6371466140203184,0.4686213991769548,0.45918367346938777,7,98,0.7254692806792149,0.4019429175655863
clean,main_camera_blur,policy_output,0,90,1.0,True,0.6,0.5824244845172337,0.42592592592592593,0.34980309632879913,0.5832385671553298,0.4819958847736625,0.3877551020408163,7,98,0.9500196089484073,0.529223269994171
clean,main_camera_blur,robot_state,0,90,1.0,True,0.6,0.7550666353227264,0.5884773662551441,0.28023223791311186,0.6618888466160409,0.5210905349794239,0.5204081632653061,7,98,0.9995574255676433,0.3440468988241986
clean,main_camera_blur,state_action_history,0,90,1.0,True,0.6,0.7819349563802831,0.6332304526748972,0.2873175892632334,0.6319424933403147,0.4660493827160494,0.37755102040816324,7,98,0.9723282371495311,0.39354186976800554
clean,main_camera_blur,vlm_final,0,90,1.0,True,0.6,0.7728946653230283,0.6893004115226337,0.2503104210847018,0.5695259165785748,0.4382716049382716,0.3673469387755102,7,98,0.94627201613953,0.6378514184326041
clean,main_camera_blur,action_expert_final,50,90,1.0,True,0.6,0.7752702007603571,0.6640946502057613,0.2353787783519604,0.6520473599453265,0.5540123456790123,0.6020408163265306,7,98,0.8764333859654593,0.4611651650244093
clean,main_camera_blur,action_uncertainty,50,90,1.0,True,0.6,0.5268232033465015,0.37551440329218105,0.28773673913709713,0.595129635088428,0.47942386831275724,0.3877551020408163,7,98,0.8764723610443065,0.4692452258619021
clean,main_camera_blur,policy_output,50,90,1.0,True,0.6,0.616933929273634,0.5550411522633745,0.2935538453632297,0.6397364485378144,0.4845679012345679,0.4387755102040816,7,98,0.9193587659205825,0.430101514622641
clean,main_camera_blur,robot_state,50,90,1.0,True,0.6,0.7933156347437536,0.6337448559670782,0.2894936696593732,0.5703653798033165,0.4454732510288065,0.3673469387755102,7,98,0.9956747691242261,0.3422148134817819
clean,main_camera_blur,state_action_history,50,90,1.0,True,0.6,0.6180930549330226,0.43878600823045266,0.379988051741685,0.5847411833988593,0.46810699588477367,0.41836734693877553,7,98,0.9683236240473605,0.3003689293639332
clean,main_camera_blur,vlm_final,50,90,1.0,True,0.6,0.8462408230071397,0.7463991769547326,0.20768164941425624,0.7025118491570195,0.565843621399177,0.6632653061224489,7,98,0.9464411711997104,0.5421220487828423
clean,main_camera_blur,action_expert_final,100,90,1.0,True,0.6,0.9288541666678045,0.8672839506172839,0.169509158840796,0.8124524141379827,0.6965020576131687,0.7653061224489796,7,98,0.6236102831069695,0.5224907148134912
clean,main_camera_blur,action_uncertainty,100,90,1.0,True,0.6,0.5568736079166449,0.3976337448559671,0.27475640851024585,0.6183887286001364,0.4619341563786008,0.41836734693877553,7,98,0.848546311705476,0.46381827392293223
clean,main_camera_blur,policy_output,100,90,1.0,True,0.6,0.7197853936489069,0.625514403292181,0.24780146375785123,0.7321486760231515,0.5776748971193416,0.673469387755102,7,98,0.8222517529144616,0.44902168135285875
clean,main_camera_blur,robot_state,100,90,1.0,True,0.6,0.7839062922808321,0.6059670781893004,0.2826430304479339,0.6229394850434715,0.48148148148148145,0.4387755102040816,7,98,0.9853506848759854,0.3613009998601159
clean,main_camera_blur,state_action_history,100,90,1.0,True,0.6,0.609281315859627,0.43261316872427985,0.3099126508110804,0.7260326154763088,0.5807613168724279,0.5816326530612245,7,98,0.8410158853095989,0.39795675590983404
clean,main_camera_blur,vlm_final,100,90,1.0,True,0.6,0.8523269749442559,0.7515432098765432,0.206403162200613,0.8405740998713995,0.7273662551440329,0.8979591836734694,7,98,0.8317198872078428,0.5991879479743767
clean,wrist_camera_mask,action_expert_final,0,90,1.0,True,1.0,,,0.06583705494011798,,,,0,0,0.9698040595295668,0.8995826802483193
clean,wrist_camera_mask,action_uncertainty,0,90,1.0,True,1.0,,,0.2609941562769646,,,,0,0,0.6211316513129232,0.5326543359941295
clean,wrist_camera_mask,policy_output,0,90,1.0,True,1.0,,,0.48736835302311116,,,,0,0,0.8607370611840228,0.3330292298327454
clean,wrist_camera_mask,robot_state,0,90,1.0,True,1.0,,,0.5034459316450539,,,,0,0,0.9995092343920936,0.3437209874599491
clean,wrist_camera_mask,state_action_history,0,90,1.0,True,1.0,,,0.4829965284181074,,,,0,0,0.9308632345227806,0.33692337987577
clean,wrist_camera_mask,vlm_final,0,90,1.0,True,1.0,,,0.023085976673708535,,,,0,0,0.5961766323486536,0.9031089526482468
clean,wrist_camera_mask,action_expert_final,50,90,1.0,True,1.0,,,0.017169913302191052,,,,0,0,0.7129642983445764,0.9090038888692038
clean,wrist_camera_mask,action_uncertainty,50,90,1.0,True,1.0,,,0.26640336754170346,,,,0,0,0.874230002197502,0.5029106533408446
