feature_set,horizon,held_out_suite,episodes,failure_prevalence,auprc,auroc,brier,task_centered_auprc,task_centered_auroc,within_task_pairwise_auc,eligible_tasks,comparable_success_failure_pairs,task_eta_squared
policy_output,50,libero_10,100,0.56,0.5809844437628561,0.5771103896103896,0.2621563296207036,0.5744468402475091,0.5482954545454545,0.5679012345679012,8,162,0.8384587592991533
policy_output,50,libero_goal,100,0.17,0.14749566317525847,0.4223954642097803,0.26133680860854946,0.18422774731018396,0.5209071580439404,0.5040650406504065,8,123,0.8827322315311921
policy_output,50,libero_object,100,0.33,0.38773299114022886,0.5798281320669381,0.22512672733299405,0.3789326563591167,0.5554047942107645,0.5562130177514792,9,169,0.4335029331800787
policy_output,50,libero_spatial,100,0.39,0.5387653052989271,0.5964691046658259,0.24556102445225264,0.45948321248290763,0.540983606557377,0.5562130177514792,8,169,0.7583234117749076
robot_state,50,libero_10,100,0.56,0.5418260214442487,0.5251623376623377,0.2894272185535542,0.5741791809345019,0.494724025974026,0.43209876543209874,8,162,0.9784810996397266
robot_state,50,libero_goal,100,0.17,0.16662843487243406,0.4571226080793763,0.20218800340418977,0.212556397126814,0.5790219702338767,0.6097560975609756,8,123,0.9775760161095314
robot_state,50,libero_object,100,0.33,0.5248593966549496,0.6576209859791949,0.6524358014389633,0.3568714445676765,0.5237449118046134,0.5088757396449705,9,169,0.8250041910059455
robot_state,50,libero_spatial,100,0.39,0.3698701517690558,0.4686843211433376,0.2751786861769306,0.4248052503360948,0.49306431273644385,0.5266272189349113,8,169,0.9473011069649052
state_action_history,50,libero_10,100,0.56,0.566342947960186,0.5620941558441559,0.2774197651157571,0.5792734512951546,0.49350649350649345,0.5,8,162,0.9277058113784022
state_action_history,50,libero_goal,100,0.17,0.17450848702871613,0.4741318214032601,0.18061455771580331,0.2620727219132846,0.5634301913536499,0.5447154471544715,8,123,0.8736466435121162
state_action_history,50,libero_object,100,0.33,0.4141078747656237,0.57756671189507,0.23690034515671354,0.32454981990462173,0.49841700587969245,0.4970414201183432,9,169,0.6510818802520727
state_action_history,50,libero_spatial,100,0.39,0.40005116111790545,0.46321984026902063,0.3043574869781973,0.4600235673891754,0.5430853299705759,0.5562130177514792,8,169,0.69173670753804
vlm_final,50,libero_10,100,0.56,0.67931319878655,0.6290584415584415,0.347151632278183,0.6421569921879309,0.5718344155844156,0.6234567901234568,8,162,0.7187082666731827
vlm_final,50,libero_goal,100,0.17,0.28695562566020966,0.6286321757618709,0.138621738131589,0.40405975068113664,0.6725726435152374,0.7398373983739838,8,123,0.5999616348111502
vlm_final,50,libero_object,100,0.33,0.5204480445698951,0.6096788783355948,0.2214675216314432,0.5228181145325242,0.5911352329262777,0.6035502958579881,9,169,0.4206397710125456
vlm_final,50,libero_spatial,100,0.39,0.5016171363636313,0.6044556536359816,0.2510141243411902,0.43422442356332835,0.510718789407314,0.5502958579881657,8,169,0.596305338685657
action_expert_final,100,libero_10,100,0.56,0.8833395427895251,0.8315746753246753,0.2015574912614693,0.8172323370141351,0.7252435064935066,0.7345679012345679,8,162,0.5654353816450005
action_expert_final,100,libero_goal,100,0.17,0.5915927981580869,0.892983699503898,0.10372725584882313,0.7699739957269937,0.8660524450744154,0.8861788617886179,8,123,0.6004240080527544
action_expert_final,100,libero_object,100,0.33,0.9322608509126398,0.963817277250113,0.10700503618614221,0.903675842232993,0.9479873360470376,0.9822485207100592,9,169,0.26757397737754995
action_expert_final,100,libero_spatial,100,0.39,0.9325381339110983,0.9255989911727617,0.18395788056450274,0.8282805997706045,0.8192517864649013,0.893491124260355,8,169,0.2110414755450598
action_uncertainty,100,libero_10,100,0.56,0.5674705373668165,0.5474837662337662,0.25694626162905626,0.5417780219512907,0.4780844155844156,0.4444444444444444,8,162,0.7128127616957014
action_uncertainty,100,libero_goal,100,0.17,0.1537950493578847,0.3933380581148122,0.2386441924433371,0.25444831874322754,0.553508150248051,0.6260162601626016,8,123,0.4357834129327328
action_uncertainty,100,libero_object,100,0.33,0.36956680239627215,0.4875621890547263,0.2511893532601422,0.4078447401265648,0.5291723202170964,0.5443786982248521,9,169,0.5044009240882408
action_uncertainty,100,libero_spatial,100,0.39,0.39090613531416085,0.43043295502311896,0.25212412158732284,0.4989456032423196,0.5115594787725934,0.5207100591715976,8,169,0.7183861138011437
policy_output,100,libero_10,100,0.56,0.5701707032931166,0.5503246753246753,0.26724250923770676,0.6395331756513746,0.5734577922077922,0.6049382716049383,8,162,0.8525345570586076
policy_output,100,libero_goal,100,0.17,0.26928007719619673,0.6208362863217576,0.20021674807750828,0.4130441685138019,0.6959603118355776,0.7073170731707317,8,123,0.7956803028517617
