feature_set,horizon,episodes,failure_prevalence,auprc,auroc,brier,task_centered_auprc,task_centered_auroc,within_task_pairwise_auc,eligible_tasks,comparable_success_failure_pairs,task_eta_squared,auprc_episode_ci_low,auprc_episode_ci_high,auprc_task_cluster_ci_low,auprc_task_cluster_ci_high,auroc_episode_ci_low,auroc_episode_ci_high,auroc_task_cluster_ci_low,auroc_task_cluster_ci_high,brier_episode_ci_low,brier_episode_ci_high,brier_task_cluster_ci_low,brier_task_cluster_ci_high,task_centered_auprc_episode_ci_low,task_centered_auprc_episode_ci_high,task_centered_auprc_task_cluster_ci_low,task_centered_auprc_task_cluster_ci_high,task_centered_auroc_episode_ci_low,task_centered_auroc_episode_ci_high,task_centered_auroc_task_cluster_ci_low,task_centered_auroc_task_cluster_ci_high,within_task_pairwise_auc_episode_ci_low,within_task_pairwise_auc_episode_ci_high,within_task_pairwise_auc_task_cluster_ci_low,within_task_pairwise_auc_task_cluster_ci_high,task_eta_squared_episode_ci_low,task_eta_squared_episode_ci_high,task_eta_squared_task_cluster_ci_low,task_eta_squared_task_cluster_ci_high
policy_output,50,400,0.3625,0.44639051903676474,0.6139012846517917,0.23020894474607406,0.3745697691072906,0.5367680865449628,0.5521669341894061,33,623,0.8467605078923892,0.3779075697504099,0.5279180924369599,0.32209914692975883,0.61946453950348,0.5562107949944999,0.669089789387211,0.520602611762218,0.6997113144512036,0.2143562619814649,0.24667023358304416,0.20583280750067337,0.25666249187607587,0.3249130717665762,0.44769547044800656,0.28514694690265696,0.47637613245537586,0.486389534237927,0.5832853224103224,0.49405520288351773,0.5814642306182202,0.46194257259614085,0.6437886756604714,0.48259313981930524,0.6210018332794134,0.8312746115374319,0.8868189556748869,0.7442673579928507,0.8979265584244758
action_uncertainty,50,400,0.3625,0.3690067601097393,0.46807302231237313,0.2512122329989189,0.38568352369481684,0.49963488843813386,0.4943820224719101,33,623,0.6416629643475864,0.3104801790960924,0.44200652616730274,0.2779030309331736,0.4755075630452412,0.40485427421164855,0.5260095572584683,0.37202924199289716,0.5613255200204319,0.24731771428488367,0.2551368407411714,0.24488089646838362,0.25801203011863505,0.3252560001311664,0.4628452625903452,0.3025625976413144,0.49126485771212186,0.4453760575972297,0.5554657664769115,0.4378599672001576,0.5648000581741799,0.4016101040973189,0.5938737347744039,0.4122340912876895,0.5888399767801856,0.6127208309773315,0.7382295063574893,0.5154743155579493,0.7322579541260534
majority_baseline,50,400,0.3625,0.32816091954022986,0.4264367816091954,0.23358984375,0.37625718390804597,0.5237998647734956,0.5,33,623,1.0000000000000013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vlm_action_expert,100,400,0.3625,0.8619621359892478,0.9056118999323868,0.12891781047339257,0.8079439119998995,0.8365382014874916,0.8892455858747994,33,623,0.5811342492763041,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all_diagnostic_features,100,400,0.3625,0.858008961679768,0.9089925625422582,0.12858294257579359,0.8083945897534607,0.8368627450980392,0.8892455858747994,33,623,0.581156400797409,,,,,,,,,,,,,,,,,,,,,,,,,,,,
layer_action_expert_layer_11,100,400,0.3625,0.8555906850894531,0.8996889790398918,0.1367146114368106,0.7930917822275545,0.8141446923597024,0.8507223113964687,33,623,0.5250778155183439,,,,,,,,,,,,,,,,,,,,,,,,,,,,
action_expert_final,100,400,0.3625,0.8437930535717564,0.8970655848546314,0.13470243938935705,0.8037993675330891,0.8226369168356998,0.8780096308186196,33,623,0.5254461157453632,0.7846518951971843,0.8949778647530503,0.7360673333970372,0.9274663776642398,0.8609305972408055,0.9285028174437722,0.8351797386409032,0.9455914515620137,0.12037883539710728,0.1506146056037141,0.10874304282282006,0.16290872652668634,0.7339857688855178,0.840437308627907,0.7217233291615235,0.8717871854046778,0.7635937937366511,0.8556260185746373,0.7553249014078616,0.8821982968494896,0.8136507911689286,0.934484783614904,0.8221382935177148,0.930002688172043,0.5019248110989846,0.6387353661739041,0.3748048609026194,0.6469328792362681
layer_action_expert_layer_15,100,400,0.3625,0.8437930535717564,0.8970655848546314,0.13470243938935705,0.8037993675330891,0.8226369168356998,0.8780096308186196,33,623,0.5254461157453632,,,,,,,,,,,,,,,,,,,,,,,,,,,,
layer_action_expert_layer_07,100,400,0.3625,0.8117825004833982,0.8842731575388776,0.1420281174077083,0.7940751938235435,0.8111697092630156,0.8426966292134831,33,623,0.5738597704507831,,,,,,,,,,,,,,,,,,,,,,,,,,,,
layer_vlm_layer_07,100,400,0.3625,0.7834701017297504,0.854685598377282,0.1549218344371181,0.7440619437026944,0.7907234617985125,0.8443017656500803,33,623,0.5980151674231239,,,,,,,,,,,,,,,,,,,,,,,,,,,,
layer_vlm_layer_11,100,400,0.3625,0.7707798402597188,0.8435429344151454,0.1573538308359109,0.7296695481502582,0.7818796484110886,0.8443017656500803,33,623,0.6141300793710198,,,,,,,,,,,,,,,,,,,,,,,,,,,,
layer_vlm_layer_03,100,400,0.3625,0.7701277233881824,0.8482217714672076,0.15627847508512965,0.7319872728318293,0.7868830290736986,0.8394863563402889,33,623,0.6129290838943974,,,,,,,,,,,,,,,,,,,,,,,,,,,,
layer_vlm_layer_15,100,400,0.3625,0.7695406299490332,0.8490601757944557,0.15719910632408496,0.7364634996689134,0.7912914131169709,0.8459069020866774,33,623,0.5893860664437665,,,,,,,,,,,,,,,,,,,,,,,,,,,,
